row,country,iso3,indicator_id,indicator_name,pillar_id,pillar_name,role,core_gate,indicator_type,required_cut,preferred_years,definition,national_source_to_try_first,international_fallback,steward,app_mapped_series,app_captured_for_egypt,egypt_value_in_app,egypt_year_in_app,egypt_source_in_app,egypt_source_url_in_app,egypt_grade_in_app,egypt_direct_or_proxy
83,Egypt,EGY,8.1,Prevalence of undernourishment (% of population),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,national,2023-2026,Prevalence of undernourishment (% of population). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,SN.ITK.DEFC.ZS,YES,9.4,2023,World Bank WDI / FAO,https://data.worldbank.org/indicator/SN.ITK.DEFC.ZS,A 96,direct
84,Egypt,EGY,8.2,"Account ownership, female (% age 15+)",O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,sex,2023-2026,"Account ownership, female (% age 15+). Method: Quantitative threshold.",National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,FX.OWN.TOTL.FE.ZS,YES,40.21,2024,Global Findex (female account ownership),https://data.worldbank.org/indicator/FX.OWN.TOTL.FE.ZS,A 96,direct
85,Egypt,EGY,8.3,Gender gap in account ownership (male % minus female %),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,sex,2023-2026,Gender gap in account ownership (male % minus female %). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,FX.OWN.TOTL.MA.ZS,YES,5.74,2024,Global Findex (male minus female account ownership),https://data.worldbank.org/indicator/FX.OWN.TOTL.FE.ZS,A 96,direct
86,Egypt,EGY,8.4,Mobile money account (% age 15+),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,national,2023-2026,Mobile money account (% age 15+). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,WB_FINDEX_MOBILEACCOUNT_T_D,YES,15.61,2024,Global Findex — mobile money account (via World Bank Data360),https://www.worldbank.org/en/publication/globalfindex,A 96,direct
87,Egypt,EGY,8.5,Women who own land (% of agricultural holders),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,agricultural,2023-2026,Women who own land (% of agricultural holders). Method: Quantitative threshold.,National statistical office series that matches the international definition,World Bank / UN / ITU official statistical system,Statistics office / international statistical system,SG.OWN.LDAL.FE.ZS,YES,0.7,2014,"World Bank Gender Statistics (women who own land, alone or jointly)",https://data.worldbank.org/indicator/SG.OWN.LDAL.FE.ZS,D 53,proxy
88,Egypt,EGY,8.6,Gender gap in mobile phone ownership (percentage points),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,sex,2023-2026,Gender gap in mobile phone ownership (percentage points). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
89,Egypt,EGY,8.7,Women using digital agricultural services (% of women farmers),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,agricultural,2023-2026,Women using digital agricultural services (% of women farmers). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
90,Egypt,EGY,8.8,Youth (under 35) using digital agricultural services (%),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,agricultural,2023-2026,Youth (under 35) using digital agricultural services (%). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
91,Egypt,EGY,8.9,Smallholder farmers reached by digital services (% of total),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,agricultural,2023-2026,Smallholder farmers reached by digital services (% of total). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
92,Egypt,EGY,8.10,Affordability of digital agriculture services for poorest quintile,O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,agricultural,2023-2026,Affordability of digital agriculture services for poorest quintile. Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
93,Egypt,EGY,8.11,Services available in local languages (% of major platforms),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,national,2023-2026,Services available in local languages (% of major platforms). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
94,Egypt,EGY,8.12,Documented yield improvement from digital tools (%),O1,"Inclusion, sustainability & outcomes",Outcome,no,rubric,national,2023-2026,Documented yield improvement from digital tools (%). Method: Anchored evidence-quality rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
95,Egypt,EGY,8.13,Documented income improvement from digital tools (%),O1,"Inclusion, sustainability & outcomes",Outcome,no,rubric,national,2023-2026,Documented income improvement from digital tools (%). Method: Anchored evidence-quality rubric.,National statistical office or line ministry publication,No international substitute — documentary lead only,Line ministry / statistics office,,NO,,,,,missing,missing
96,Egypt,EGY,8.14,Farmers using digital climate services (%),O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,agricultural,2023-2026,Farmers using digital climate services (%). Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
97,Egypt,EGY,8.15,Environmental sustainability of digital agriculture systems,O1,"Inclusion, sustainability & outcomes",Outcome,no,quantitative,agricultural,2023-2026,Environmental sustainability of digital agriculture systems. Method: Quantitative threshold.,National statistical office or line ministry publication,World Bank / UN / ITU official statistical system,Line ministry / statistics office,,NO,,,,,missing,missing
